group,glps,min_meat,max_meat,min_meth,max_meth,min_manure,max_manure,min_methane,max_methane
Rest of Centr. America,mixed,0.00126379,0.010072685,0.350701,0.436109408,0.143548644,0.270861874,0.397487003,0.524436464
Rest of Centr. America,other,0.002197413,0.002197413,0.413985589,0.413985589,0.133990593,0.270861923,0.3787688,0.528445543
Rest of Europe,grazing,0.005364076,0.008744845,0.421689476,0.46476577,0.133990531,0.240671274,0.476051625,0.612542353
Rest of Europe,mixed,0.011765539,0.016562086,0.396477979,0.420546083,0.148183309,0.240671244,0.476051796,0.612542333
Rest of Europe,other,0.012898584,0.015622029,0.425567193,0.439818236,0.132044634,0.262074993,0.3787688,0.614559919
Rest of South Africa,grazing,0.00011488,0.007657378,0.430304577,0.451221203,0.141542952,0.270268565,0.417748185,0.518864622
Rest of South Africa,mixed,0.00011488,0.008311396,0.413967021,0.440168294,0.144248519,0.270268566,0.303503078,0.518864627
Rest of South Africa,other,0.00580085,0.00580085,0.444725127,0.444725127,0.144248526,0.270268486,0.417748176,0.518864661
Rest of South America,grazing,0.00297001,0.006293282,0.39926972,0.451221203,0.155082274,0.258622687,0.39876198,0.506475245
Rest of South America,mixed,0.002738883,0.012374109,0.351205949,0.422172522,0.154391009,0.258622696,0.398761949,0.506475218
Rest of South America,other,0.005720106,0.007984513,0.451492472,0.451530254,0.155082279,0.258622661,0.39876195,0.506475245
Rest of South Asia,grazing,0.00011488,0.007657378,0.430304577,0.451221203,0.141962335,0.27293321,0.414097258,0.53988817
Rest of South Asia,mixed,0.000478728,0.006088415,0.402878984,0.442233861,0.142049635,0.272933268,0.301297959,0.539887945
Rest of South Asia,other,0.00236994,0.00236994,0.423782634,0.423782634,0.141999764,0.272933257,0.301298014,0.514171706
South Africa,grazing,0.001707073,0.007657378,0.430304577,0.451221203,0.144248518,0.270268613,0.417748218,0.518864614
South Africa,mixed,0.002022273,0.008517769,0.40994349,0.490830804,0.144248517,0.270268573,0.417748191,0.518864602
South Africa,other,0.005961028,0.009211875,0.444311828,0.479265917,0.144248558,0.270268567,0.417748238,0.51886463
South Europe,grazing,0.007834164,0.007834164,0.470734654,0.470734654,0.141785689,0.166724924,0.515549172,0.660556862
South Europe,mixed,0.010231752,0.014340552,0.393022503,0.436298398,0.130797981,0.221318693,0.482681445,0.660556842
South Europe,other,0.008851012,0.01356071,0.381394353,0.451334683,0.130797987,0.166724979,0.460574341,0.660556973
South Korea,grazing,0.005348676,0.008744845,0.430304577,0.46476577,0.203057739,0.242183705,0.469856005,0.512378107
South Korea,mixed,0.007255586,0.012314659,0.410575543,0.450443429,0.203057739,0.242183705,0.469856005,0.512378107
South Korea,other,0.011694086,0.01272646,0.416689917,0.420350701,0.148574766,0.242183762,0.448522545,0.512378068
Turkey,grazing,0.00011488,0.005364076,0.421689476,0.451221203,0.140584503,0.240328736,0.417135409,0.539887973
Turkey,mixed,0.006600778,0.009460459,0.371716962,0.414543962,0.140584515,0.193946678,0.417135403,0.660556553
