ADM0_A3,Demand,source,SSP1-NoCC2010,SSP1-NoCC2030,SSP1-NoCC2050,SSP2-NoCC2010,SSP2-NoCC2030,SSP2-NoCC2050,SSP3-NoCC2010,SSP3-NoCC2030,SSP3-NoCC2050
MWI,38434,observed,28809.92945,80023.72243,253759.3945,28809.9283,76084.86773,204690.1657,28809.93534,75283.12317,181631.2007
SVN,38179,observed,46116.54373,51030.21394,54887.84019,46116.54388,50392.87766,53676.19837,46116.54298,47291.4779,44368.62293
SLV,37754,observed,49204.2214,57387.47587,60898.91994,49204.22071,58137.95649,62957.58399,49204.22493,64582.66192,78981.37281
TJK,35667,observed,33661.87463,59347.40634,77302.06284,33661.87524,57393.12708,73052.18821,33661.87147,61817.33159,84433.70282
PSX,34931.94752,observed,11082.60562,26596.67442,47104.62458,11087.13512,25515.83992,44509.54088,11059.29508,25229.96142,49960.17995
BIH,34929,observed,0,0,0,0,0,0,0,0,0
CIV,34539,observed,44034.85896,91558.34751,161460.8656,44034.85744,91990.58905,161136.987,44034.86677,96018.40511,168412.0095
BEN,31520,observed,25820.40015,53749.20561,106472.0745,25820.39933,51552.81184,93619.57927,25820.40438,50406.81632,84496.50315
HUN,31241,observed,43891.22106,44593.44189,44653.37818,43891.22119,43914.87427,43241.88232,43891.22036,41710.08884,37034.72414
LKA,29403,observed,39194.76421,86506.72864,139074.3511,39194.76392,85006.1497,128811.0519,39194.76568,82989.54331,111737.8988
NIC,28765,observed,27609.49103,41002.92988,52024.00303,27609.49064,41749.22084,53946.05424,27609.49299,45215.21592,63231.27556
RWA,28760,observed,31493.81064,73644.53744,153049.0047,31493.80939,73224.34431,143666.8482,31493.81704,72780.49176,131986.705
SVK,28282,observed,34743.24605,38928.05807,39666.64254,34743.24615,38499.10779,38743.20279,34743.24551,36639.64037,33331.83105
GHA,28183,observed,39775.02934,130648.2663,345745.7995,39775.02798,125125.0528,286404.4606,39775.03631,120574.4288,228259.7396
GEO,28081,observed,60153.15888,85132.81515,84935.83533,60153.15999,81087.4252,77901.12949,60153.15313,83221.88736,82472.99979
BGR,27733,observed,91623.44161,91910.06093,87262.787,91623.44188,91479.79081,88515.83364,91623.44017,91101.01888,87790.94437
MOZ,26832,observed,27507.67671,64372.01504,141675.2035,27507.67562,62799.19418,120544.1025,27507.68229,61762.2713,105241.0829
MRT,25370,observed,30100.22855,67209.47061,117230.5431,30100.22718,66737.17914,118241.222,30100.23561,65744.42252,110672.629
BHR,24653.28621,observed,0,0,0,0,0,0,0,0,0
SOL,22632.39628,observed,14049.09692,22550.09952,30365.37729,14049.0971,22123.31976,29464.12298,14049.09599,21880.21807,29500.14902
PRK,21975,observed,21931.76284,23167.83932,21841.69055,21931.76314,23676.49744,22885.58585,21931.76134,24068.06644,23819.03573
KOS,20485.69768,observed,0,0,0,0,0,0,0,0,0
COG,19340,observed,7804.345434,20924.76882,39246.76375,7804.345169,20198.26578,35525.59688,7804.346792,19517.85279,32077.22911
BHS,18969,observed,25204.27673,32910.31297,35840.73669,25204.27705,32663.6711,35330.09118,25204.27504,32686.99515,34551.10819
SWZ,18872,observed,27894.0341,36611.79458,58929.78187,27894.033,35109.91751,52493.8939,27894.03978,33608.64152,46251.43249
ERI,17836.91753,observed,15835.94615,35633.26747,122920.8116,15835.94539,31558.04636,77187.99779,15835.95001,27563.49814,50253.55527
MKD,16203,observed,0,0,0,0,0,0,0,0,0
BWA,15858,observed,23771.14233,45943.45123,66762.93111,23771.14144,44792.6895,62988.29784,23771.14688,40959.9506,49623.48098
LUX,15836,observed,0,0,0,0,0,0,0,0,0
COD,14486.68249,observed,15556.40441,70657.20708,297480.2689,15556.40387,63845.34286,207183.3898,15556.40719,60694.15717,154490.8489
GAB,14371,observed,12655.88947,20067.50857,28390.6741,12655.88907,19648.30183,27314.08202,12655.89154,19091.6194,25653.83181
LTU,13717,observed,0,0,0,0,0,0,0,0,0
GNQ,13132.32308,observed,61.31012912,97.63489809,139.9259345,61.31012706,98.08431774,143.3075578,61.31013969,96.28286426,137.6132273
LSO,12489,observed,14218.60306,24354.47836,39985.04607,14218.60252,23401.03498,34698.0322,14218.60584,22621.80315,30759.15201
SLE,12094,observed,7949.978317,17774.10488,36248.24174,7949.978046,17477.48422,32942.04616,7949.979708,17028.89007,28553.21072
JAM,11096,observed,17399.42838,21625.33626,26935.98116,17399.4286,21473.23389,25539.05446,17399.42723,22669.55227,27875.91337
LVA,10833,observed,73856.05121,71565.8211,66048.83988,73856.0511,71757.25544,67206.01681,73856.05177,72419.85276,68812.44091
TGO,10452,observed,10305.96608,26975.64769,81490.77175,10305.96572,24470.36042,55255.49552,10305.9679,23334.94724,42255.28995
EST,9365,observed,0,0,0,0,0,0,0,0,0
MLT,8932,observed,0,0,0,0,0,0,0,0,0
DJI,8729,observed,8128.301528,20768.04562,52783.28117,8128.301156,20316.77999,48331.72727,8128.303432,19543.4529,40715.90524
PYF,8697,observed,0,0,0,0,0,0,0,0,0
NAM,8643,observed,23056.93525,44527.0763,70958.06745,23056.93439,43483.85743,66771.09204,23056.93967,42443.5398,61400.79838
TTO,8225,observed,0,0,0,0,0,0,0,0,0
FJI,8213,observed,8699.404595,12282.80782,16962.93094,8699.404706,12386.96622,16656.50107,8699.40402,12426.38592,16181.75809
MNE,7820,observed,0,0,0,0,0,0,0,0,0
BTN,7746.91336,observed,7277.571364,14161.80715,19362.72012,7277.571305,14420.71491,20677.7097,7277.571669,14126.80968,19866.72102
MUS,7448,observed,9536.97656,18327.34811,26940.6431,9536.976683,17965.39815,25646.79682,9536.975925,17857.8175,24631.02126
CYP,7358,observed,6726.359558,8360.277841,9914.564307,6726.359586,8416.536756,10112.35766,6726.359416,8109.195303,9304.515379
GNB,6714,observed,5817.434972,10566.09326,20127.4183,5817.434769,10459.4522,18734.24138,5817.436013,10421.10227,17274.34445
NCL,6705,observed,0,0,0,0,0,0,0,0,0
MAC,5915,observed,0,0,0,0,0,0,0,0,0
MDA,5453,observed,16315.831,15405.05084,12539.31986,16315.83105,15268.37717,12468.90882,16315.83074,16360.49948,14931.12266
SUR,5245,observed,3678.969131,5476.637534,6474.628765,3678.969077,5531.507744,6671.660404,3678.969409,5834.334433,7490.362256
MDV,5206,observed,0,0,0,0,0,0,0,0,0
BRN,5080,observed,0,0,0,0,0,0,0,0,0
ISL,4408,observed,3831.357009,5106.450219,6436.318174,3831.356972,5064.698638,6390.55824,3831.357201,4704.292788,5292.967534
BRB,4044,observed,0,0,0,0,0,0,0,0,0
GMB,3876,observed,5783.979777,14804.86386,38638.93486,5783.979578,14527.70465,33244.74838,5783.980797,14292.89857,28459.78539
LBR,3358,observed,2012.253923,8120.82138,24768.88319,2012.253853,7496.047472,19477.8127,2012.254281,6596.173249,13761.21616
CYN,3236.839815,observed,0,0,0,0,0,0,0,0,0
SLB,3123,observed,1958.558013,3983.698699,6522.610545,1958.558039,3909.665724,6193.33257,1958.557883,3883.043484,5910.592114
VUT,2839,observed,2302.845338,4248.542245,7269.028182,2302.845367,4186.904882,6806.713158,2302.845185,4184.085647,6485.63188
GUM,2585.48534,observed,0,0,0,0,0,0,0,0,0
GUY,2572,observed,0,0,0,0,0,0,0,0,0
COM,2454.824575,observed,0,0,0,0,0,0,0,0,0
BMU,2426,observed,0,0,0,0,0,0,0,0,0
BLZ,2114,observed,2794.212219,3911.905031,4836.271649,2794.21218,3985.052071,5087.683044,2794.21242,4212.465188,5839.095604
CUW,2100.588629,observed,0,0,0,0,0,0,0,0,0
WSM,2071,observed,0,0,0,0,0,0,0,0,0
TLS,1930,observed,2046.716077,5059.42887,7675.075933,2046.716104,4860.592453,7048.69432,2046.715939,4980.526374,7271.850428
ATG,1870,observed,0,0,0,0,0,0,0,0,0
IMN,1768.369871,observed,0,0,0,0,0,0,0,0,0
JEY,1764.111385,observed,0,0,0,0,0,0,0,0,0
VIR,1744.476225,observed,0,0,0,0,0,0,0,0,0
SAH,1740.190983,observed,0,0,0,0,0,0,0,0,0
ABW,1637.667607,observed,0,0,0,0,0,0,0,0,0
SYC,1431.347752,observed,0,0,0,0,0,0,0,0,0
