"partner","access"
"ABW",164.585034831492
"AFG",368.428333759308
"AGO",148.606834118541
"ALB",60.8188802067938
"ARE",43.2822436682185
"ARG",132.813254435757
"ARM",75.6089093406126
"ATG",164.585034831492
"AUS",119.617354422817
"AUT",42.6742867993512
"AZE",73.55302139937
"BDI",34.0064553103794
"BEL",12.8978875534455
"BEN",60.1804859865357
"BFA",105.703862100497
"BGD",30.2629410910687
"BGR",88.7012213814317
"BHR",164.585034831492
"BIH",70.6894475937327
"BLR",72.2956803313312
"BLZ",258.165903567383
"BOL",518.918265514835
"BRA",264.107308921335
"BRB",164.585034831492
"BRN",224.636240472794
"BTN",366.599516837828
"BWA",164.950043115895
"CAF",224.65402526658
"CAN",203.697210092427
"CHE",22.5198819279052
"CHL",158.626940340426
"CHN",97.8516925809066
"CIV",63.7725974966269
"CMR",89.1457007763972
"COD",209.792967972557
"COG",426.830752191574
"COL",248.189423803661
"COM",164.585034831492
"CPV",164.585034831492
"CRI",142.325924388364
"CUB",107.788496410848
"CUW",164.585034831492
"CYP",37.5665741476407
"CZE",31.2086557352546
"DEU",32.5539764641208
"DJI",171.461452409427
"DMA",164.585034831492
"DNK",55.4491991057743
"DOM",105.366483562237
"DZA",37.6342110820654
"ECU",106.680995713629
"EGY",32.6250585316348
"ERI",129.117605992493
"ESP",41.6687622524686
"EST",78.1086629384242
"ETH",129.471930966396
"FIN",103.601529109727
"FJI",164.585034831492
"FRA",28.2182245536633
"FRO",164.585034831492
"FSM",164.585034831492
"GAB",848.219970703125
"GBR",16.8663187205689
"GEO",115.774047811089
"GHA",71.9697899000696
"GIN",84.8078940481552
"GMB",66.5696109765526
"GNB",219.590466364064
"GRC",51.9979926304834
"GRD",164.585034831492
"GTM",137.902197250411
"GUY",1874.89700661229
"HKG",164.585034831492
"HND",229.244761227351
"HRV",37.0084130527875
"HTI",70.0965916896169
"HUN",38.5879353745206
"IDN",217.321391772391
"IND",63.0269419850323
"IRL",35.4051091864215
"IRN",88.7795722882621
"IRQ",79.1401980575783
"ISL",164.585034831492
"ISR",24.947240422239
"ITA",22.4737434830418
"JAM",72.9054140807415
"JOR",57.2502545095282
"JPN",43.2785631346888
"KAZ",295.306264979854
"KEN",47.7804918359734
"KGZ",152.004711492324
"KHM",177.542839975617
"KIR",164.585034831492
"KNA",164.585034831492
"KOR",24.3038699228698
"KWT",104.746220152587
"LAO",337.292512329071
"LBN",31.4981721621298
"LBY",54.7317430979096
"LCA",164.585034831492
"LKA",59.0018155386244
"LSO",111.495158306012
"LTU",53.351307884979
"LVA",73.6937928980082
"MAC",164.585034831492
"MAR",51.24044605832
"MDA",59.7079991169003
"MDG",500.995947043749
"MEX",160.598047152999
"MKD",65.3684906985179
"MLI",100.738482194268
"MLT",164.585034831492
"MMR",331.984545371261
"MNE",119.781483106495
"MNG",639.354238043761
"MOZ",104.231939445112
"MRT",77.8300018310547
"MUS",164.585034831492
"MWI",92.2763830529065
"MYS",168.871306127466
"MYT",164.585034831492
"NAM",125.973543974187
"NER",9.37420460341463
"NGA",56.3652948570305
"NIC",252.394468887739
"NLD",10.8577742714875
"NOR",149.324822775957
"NPL",233.174134066781
"NRU",164.585034831492
"NZL",53.6860580770108
"OMN",286.408664656355
"PAK",142.776455721414
"PAN",194.314913265552
"PER",210.189587651292
"PHL",117.40553652794
"PLW",164.585034831492
"PNG",393.938601451314
"POL",33.5326308729594
"PRK",92.9070139793328
"PRT",64.6037873240494
"PSE",164.585034831492
"PYF",164.585034831492
"QAT",34.2136053767946
"ROU",53.203191514934
"RUS",155.358517105296
"RWA",55.2220638330027
"SAU",111.338623785292
"SDN",103.234878733484
"SEN",99.0176508824309
"SGP",164.585034831492
"SLB",164.585034831492
"SLE",111.445030879211
"SLV",35.3894585197238
"SOM",196.534615989835
"SRB",39.1154413939741
"STP",164.585034831492
"SUR",4500.83888545026
"SVK",43.5536674312765
"SVN",38.451423021115
"SWE",84.575016117378
"SWZ",56.1932248174051
"SYR",72.9213768959673
"TCD",238.649188645679
"TGO",62.4833402365562
"THA",98.4713618732919
"TJK",71.5877546991644
"TKM",330.40385901112
"TLS",171.561100796291
"TON",164.585034831492
"TTO",164.585034831492
"TUN",44.1439992461417
"TUR",65.4145017168093
"TUV",164.585034831492
"TZA",107.325359810212
"UGA",74.4059229066359
"UKR",56.6934261260656
"URY",145.335557689404
"USA",82.8915851120292
"UZB",107.073037011008
"VCT",164.585034831492
"VEN",401.071370884815
"VNM",93.2747021099262
"VUT",164.585034831492
"WSM",164.585034831492
"YEM",89.7464590626257
"ZAF",70.1696915421977
"ZMB",246.270964648996
"ZWE",74.2525981253619
