"region","group","ME","methane","nitrous"
"EAS","Japan",0.808770605598877,4.86084975754158,0.220111414190492
"EAS","South Korea",0.76973189637774,5.14196822184725,0.214556853805875
"EAS","China",0.288064940416239,4.40101352649029,0.195903466269828
"EUR","Rest of Europe",0.801551591133287,5.647603262231,0.208253888431575
"EUR","South Europe",0.691102711003711,5.40642468763219,0.14763065098448
"EUR","Balkans",0.668723512001868,4.90072127766218,0.171932201204445
"EUR","East Europe",0.639202136615726,4.78858768475079,0.145539360897976
"EUR","Former USSR",0.615969270118803,4.7503182224561,0.161558566894925
"EUR","West Europe",0.615869286625909,5.05869749929289,0.144415473751461
"EUR","North Europe",0.60761196531876,4.72584421061337,0.154012957022526
"EUR","Baltic",0.591970180714614,4.18595292274265,0.189109937865998
"LAM","Mexico",0.407458302001954,4.65539086031204,0.180618626006074
"LAM","Rest of South America",0.351179090352591,5.0445627440494,0.198343885956843
"LAM","Brazil",0.271796586199861,4.95441585051046,0.176464505148697
"LAM","Rest of Centr. America",0.208879899443264,4.69173976538799,0.165199865661727
"MNA","Mid. east, North Africa",0.503182880885784,5.13488466998122,0.185426326711867
"MNA","Turkey",0.348903819224974,4.66481098037358,0.167935914701866
"NAM","United States",0.680505198672972,3.93581023775526,0.243406666708504
"NAM","Canada",0.467857216385011,4.01430356654451,0.179602648896464
"OCE","ANZ",0.313226596690689,5.32316773582652,0.193907504551588
"OCE","Pacific islands",0.0850365495799624,5.39025051968641,0.15659337212223
"SAS","Rest of South Asia",0.0700029927737316,4.90282433091583,0.158888009849293
"SAS","India",0.0473177040496686,3.82029478315955,0.191211215216049
"SEA","Insular SEA",0.173884513686614,5.49351802763494,0.227051395054915
"SEA","Continental SEA",0.172221654927958,5.53587068469878,0.233610950909214
"SSA","South Africa",0.296855547150994,5.17581025937372,0.205439389583959
"SSA","East Africa",0.20283309338575,4.87529306358661,0.19667972865583
"SSA","Rest of South Africa",0.158188694122382,5.36516336156702,0.176630670915459
"SSA","Congo basin",0.103437611155886,5.51798005799483,0.18352752719918
"SSA","West Africa",0.0539821734970103,4.18978645701556,0.142001851095003
