region,glps,ME
CIS,2,9
CIS,1,10
EAS,2,8.4
EAS,3,8.8
EAS,1,9.9
EUR,2,9.5
EUR,3,9.3
EUR,1,10
LAM,2,8.4
LAM,3,9.5
LAM,1,9.3
MNA,2,9.1
MNA,3,9.6
MNA,1,9.6
NAM,2,9
NAM,3,9.3
NAM,1,11
OCE,2,9.7
OCE,3,9.6
OCE,1,9.8
SAS,2,8.4
SAS,3,8.5
SAS,1,9.3
SEA,2,8.4
SEA,3,9.3
SEA,1,8.6
SSA,2,8.3
SSA,3,8.7
SSA,1,9.5
