climate_bin,barley,cassava,groundnut,maize,millet,oilpalm,potato,rapeseed,rice,rye,sorghum,soybean,sugarbeet,sugarcane,sunflower,wheat
79,,22.41753617,2.083354064,3.83548419,,20.60498773,28.19429207,,5.083037523,,2.092299302,2.823948383,,98.44756206,,
80,,38.89641953,0.960871674,,0.559890764,,,,5.93348217,,0.85536311,,,55.714077,,
81,,38.54614962,1.252947016,2.688602924,0.810682949,,21.73073578,,5.90163079,,1.03882005,2.252711535,,88.74197846,1.194114415,
82,2.57030946,34.98193067,1.260801709,2.714623216,0.759734452,,22.05047162,1.20047157,5.747088917,,1.015672026,,,89.52756666,1.366687227,4.614870882
83,,34.56515358,1.627639926,2.920341378,1.071499526,15.95521925,21.99142423,1.132623308,5.503938266,,1.214049919,2.024308867,,101.0213737,1.393464313,4.739428343
84,,33.997635,1.572275604,3.066682803,1.047628612,16.39477329,22.15176258,1.138216983,5.450856068,,1.2476572,2.209636986,,96.16482126,1.440789173,4.289385835
85,,35.77985051,1.730427111,2.905936081,1.173745383,16.82316586,21.8661618,1.183564624,5.543938607,,1.249903386,2.073639575,,111.7874941,1.369484667,4.151969371
86,,25.84474484,1.845586101,3.468994304,1.257271671,17.07453722,22.28571021,1.059403732,4.91138193,,1.885051448,2.142324852,,103.5991218,1.575849231,4.175587823
87,,19.74795907,2.073352513,3.805413066,1.234444474,18.10384509,22.85673141,0.978702435,4.798393142,,1.968581203,2.517176459,,100.6571839,1.246614118,2.978973627
88,,26.37604433,2.089236897,3.777038475,,20.70501234,,,4.840832781,,1.791778684,,,101.3119166,,
89,,30.23184824,2.041867876,3.388887882,,21.65559705,,,4.805751165,,,,,100.2520224,,
92,,,0.95176512,,0.600000024,,,,,,1.286740184,,,,,
93,,,,,,,,,,,,,,,,
