"region","group","ADM0_A3","ave_distance","tcost"
"EUR","Baltic","EST",3374.68421052632,0.0959296828817276
"EUR","Baltic","LVA",2873.82352941176,0.0943155323859812
"EUR","Baltic","LTU",5121.5,0.10177851018018
"EUR","East Europe","BGR",4091.73913043478,0.0982887773349673
"EUR","East Europe","CZE",3328.04545454545,0.0957782184558158
"EUR","East Europe","HUN",4100.08333333333,0.0983165683198411
"EUR","East Europe","POL",8477.2375,0.114033707123346
"EUR","East Europe","ROU",4799.23529411765,0.100673277269705
"EUR","East Europe","SVK",3779.3,0.0972538103745096
"EUR","East Europe","SVN",3197.8,0.0953564974737275
"EUR","West Europe","LIE",5669.76965512781,0.103686798489163
"EUR","West Europe","AUT",4974.10256410256,0.10127150101903
"EUR","West Europe","BEL",7167.93055555556,0.109085688243471
"EUR","West Europe","DEU",8037.41836734694,0.112347040179243
"EUR","West Europe","MCO",5669.76965512781,0.103686798489163
"EUR","West Europe","FRA",5751.11627906977,0.103972962735572
"EUR","West Europe","MAF",5669.76965512781,0.103686798489163
"EUR","West Europe","NCL",5669.76965512781,0.103686798489163
"EUR","West Europe","SPM",3568,0.0965600551790724
"EUR","West Europe","PYF",5669.76965512781,0.103686798489163
"EUR","West Europe","ATF",5669.76965512781,0.103686798489163
"EUR","West Europe","BLM",5669.76965512781,0.103686798489163
"EUR","West Europe","WLF",5669.76965512781,0.103686798489163
"EUR","West Europe","CLP",5669.76965512781,0.103686798489163
"EUR","West Europe","LUX",2390.66666666667,0.0927841793080854
"EUR","West Europe","SXM",5669.76965512781,0.103686798489163
"EUR","West Europe","NLD",7799.15315315315,0.111443756282543
"EUR","West Europe","CUW",5669.76965512781,0.103686798489163
"EUR","West Europe","ABW",5669.76965512781,0.103686798489163
"EUR","North Europe","DNK",5954.27777777778,0.104691106059621
"EUR","North Europe","GRL",7590.56722536723,0.110658952988904
"EUR","North Europe","FRO",7590.56722536723,0.110658952988904
"EUR","North Europe","FIN",5732.5,0.103907404070226
"EUR","North Europe","ALD",7590.56722536723,0.110658952988904
"EUR","North Europe","IRL",7103.27142857143,0.108846975418307
"EUR","North Europe","SWE",5234.73076923077,0.102169718087793
"EUR","North Europe","ESB",7590.56722536723,0.110658952988904
"EUR","North Europe","GBR",7763.62337662338,0.111309683505346
"EUR","North Europe","GIB",7590.56722536723,0.110658952988904
"EUR","North Europe","WSB",7590.56722536723,0.110658952988904
"EUR","North Europe","TCA",7590.56722536723,0.110658952988904
"EUR","North Europe","PCN",7590.56722536723,0.110658952988904
"EUR","North Europe","MSR",7590.56722536723,0.110658952988904
"EUR","North Europe","AIA",7590.56722536723,0.110658952988904
"EUR","North Europe","VGB",7590.56722536723,0.110658952988904
"EUR","North Europe","CYM",7590.56722536723,0.110658952988904
"EUR","North Europe","BMU",7590.56722536723,0.110658952988904
"EUR","North Europe","SHN",7590.56722536723,0.110658952988904
"EUR","North Europe","JEY",7590.56722536723,0.110658952988904
"EUR","North Europe","GGY",7590.56722536723,0.110658952988904
