nmr,obj1,obj2,obj3
1,0,1,0
2,0.25,0.75,0
3,0.5,0.5,0
4,0.75,0.25,0
5,1,0,0
6,0,0,1
7,0.25,0,0.75
8,0.5,0,0.5
9,0.75,0,0.25
10,0,0.75,0.25
11,0,0.5,0.5
12,0,0.25,0.75
13,0.25,0.25,0.5
14,0.25,0.5,0.25
15,0.5,0.25,0.25
