region,grain,stover
EAS,0.09,0.47
EUR,0.19,0.48
LAM,0.2,0.5
MNA,0.36,0.48
NAM,0.3,0.31
OCE,0.01,0.48
SAS,0,0.41
SEA,0,0.72
SSA,0.04,0.47
